binomial,kingdom,phylum,class,order,family,genus,species
Thesium linophyllon,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Thesium,linophyllon
Ophrys insectifera,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Ophrys,insectifera
Phaseolus coccineus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,coccineus
Viburnum prunifolium,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,prunifolium
Clavulina coralloides,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina,coralloides
Carex pendula,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,pendula
Tradescantia ohiensis,Plantae,Tracheophyta,Magnoliopsida,Commelinales,Commelinaceae,Tradescantia,ohiensis
Phleum alpinum,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Phleum,alpinum
Heterodontus portusjacksoni,Animalia,Chordata,Chondrichthyes,Heterodontiformes,Heterodontidae,Heterodontus,portusjacksoni
Trillium recurvatum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Trillium,recurvatum
Stellaria nemorum,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,nemorum
Carex rostrata,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,rostrata
Trillium grandiflorum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Trillium,grandiflorum
Sparganium erectum,Plantae,Tracheophyta,Magnoliopsida,Poales,Typhaceae,Sparganium,erectum
Stelis purpurascens,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Stelis,purpurascens
Digitaria sanguinalis,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Digitaria,sanguinalis
Digitalis purpurea,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Digitalis,purpurea
Ophrys fusca,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Ophrys,fusca
Dactylorhiza maculata,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Dactylorhiza,maculata
Polygonatum pubescens,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Polygonatum,pubescens
Platanthera aquilonis,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Platanthera,aquilonis
Bromus hordeaceus,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Bromus,hordeaceus
Astraeus hygrometricus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Diplocystidiaceae,Astraeus,hygrometricus
Muilla maritima,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Muilla,maritima
Angelica decursiva,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Angelica,decursiva
Maianthemum racemosum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Maianthemum,racemosum
Euscorpius flavicaudis,Animalia,Arthropoda,Arachnida,Scorpiones,Euscorpiidae,Euscorpius,flavicaudis
Hedychium coronarium,Plantae,Tracheophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Hedychium,coronarium
Rickenella fibula,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Repetobasidiaceae,Rickenella,fibula
Muscari armeniacum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Muscari,armeniacum
Rhexia mariana,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Rhexia,mariana
Cypripedium montanum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cypripedium,montanum
Pomatomus saltatrix,Animalia,Chordata,Actinopterygii,Scombriformes,Pomatomidae,Pomatomus,saltatrix
Epipactis atrorubens,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Epipactis,atrorubens
Fritillaria meleagris,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Fritillaria,meleagris
Allium vineale,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,vineale
Calochortus leichtlinii,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Calochortus,leichtlinii
Milium effusum,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Milium,effusum
Calypte anna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,anna
Viola wittrockiana,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,wittrockiana
Agave parryi,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Agave,parryi
Tursiops truncatus,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops,truncatus
Pistia stratiotes,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Pistia,stratiotes
Gilia cana,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,cana
Potamogeton natans,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Potamogetonaceae,Potamogeton,natans
Argiope bruennichi,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,bruennichi
Xerophyllum asphodeloides,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Xerophyllum,asphodeloides
Perilla frutescens,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Perilla,frutescens
Sambucus racemosa,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,racemosa
Bouteloua curtipendula,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Bouteloua,curtipendula
Lilium columbianum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Lilium,columbianum
Viola tricolor,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,tricolor
Sabal palmetto,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Sabal,palmetto
Thalurania colombica,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Thalurania,colombica
Lilium martagon,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Lilium,martagon
Melinis repens,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Melinis,repens
Houstonia purpurea,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Houstonia,purpurea
Viola alba,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,alba
Bromus tectorum,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Bromus,tectorum
Ficus microcarpa,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,microcarpa
Narcissus pseudonarcissus,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Narcissus,pseudonarcissus
Yucca brevifolia,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Yucca,brevifolia
Nama californicum,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Nama,californicum
Hydrocotyle umbellata,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Hydrocotyle,umbellata
Crassula perfoliata,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,perfoliata
Polistes dominula,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes,dominula
Leymus mollis,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Leymus,mollis
Platichthys flesus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,flesus
Deschampsia cespitosa,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Deschampsia,cespitosa
Anacamptis morio,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Anacamptis,morio
Pollicipes polymerus,Animalia,Arthropoda,Thecostraca,Scalpelliformes,Pollicipedidae,Pollicipes,polymerus
Nama aretioides,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Nama,aretioides
Parma microlepis,Animalia,Chordata,Teleostei,Perciformes,Pomacentridae,Parma,microlepis
Clivia miniata,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Clivia,miniata
Trillium ovatum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Trillium,ovatum
Typha orientalis,Plantae,Tracheophyta,Magnoliopsida,Poales,Typhaceae,Typha,orientalis
Elymus elymoides,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Elymus,elymoides
Cortaderia jubata,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Cortaderia,jubata
Microtis unifolia,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Microtis,unifolia
Popillia japonica,Animalia,Arthropoda,Insecta,Coleoptera,Rutelidae,Popillia,japonica
Trillium erectum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Trillium,erectum
Dahlia australis,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Dahlia,australis
Oplismenus hirtellus,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Oplismenus,hirtellus
Hypholoma lateritium,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hypholoma,lateritium
Himantopus mexicanus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,mexicanus
Spirodela polyrhiza,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Spirodela,polyrhiza
Youngia japonica,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Youngia,japonica
Bromus inermis,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Bromus,inermis
Sisyrinchium bellum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Sisyrinchium,bellum
Cetonia aurata,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Cetonia,aurata
Megaptera novaeangliae,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Megaptera,novaeangliae
Platanthera bifolia,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Platanthera,bifolia
Camassia quamash,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Camassia,quamash
Euphoria kernii,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Euphoria,kernii
Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,latirostris
Morinda citrifolia,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Morinda,citrifolia
Stellaria media,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,media
Scalopus aquaticus,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Scalopus,aquaticus
Lophophora diffusa,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Lophophora,diffusa
Glyceria maxima,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Glyceria,maxima
Platanthera clavellata,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Platanthera,clavellata
Smilax rotundifolia,Plantae,Tracheophyta,Magnoliopsida,Liliales,Smilacaceae,Smilax,rotundifolia
Carex magellanica,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,magellanica
Securigera varia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Securigera,varia
Viola riviniana,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,riviniana
Collinsia heterophylla,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Collinsia,heterophylla
Aetobatus narinari,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Aetobatus,narinari
Nama demissum,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Nama,demissum
Echinopsis oxygona,Animalia,Echinodermata,Echinoidea,Camarodonta,Glyphocyphidae,Echinopsis,oxygona
Ulmus glabra,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,glabra
Commelina africana,Plantae,Tracheophyta,Magnoliopsida,Commelinales,Commelinaceae,Commelina,africana
Alligator mississippiensis,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis
Prunella vulgaris,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Prunella,vulgaris
Oxythyrea funesta,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Oxythyrea,funesta
Archilochus alexandri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,alexandri
Ovidia andina,Animalia,Arthropoda,Insecta,Hymenoptera,Torymidae,Ovidia,andina
Robinia pseudoacacia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia
Viburnum acerifolium,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,acerifolium
Eremothera boothii,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Eremothera,boothii
Trichia botrytis,Protozoa,Protozoa,Eumycetozoa,Trichiida,Trichiidae,Trichia,botrytis
Jamesia americana,Plantae,Tracheophyta,Magnoliopsida,Cornales,Hydrangeaceae,Jamesia,americana
Calochortus pulchellus,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Calochortus,pulchellus
Arundinaria gigantea,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Arundinaria,gigantea
Yucca pallida,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Yucca,pallida
Anania hortulata,Chromista,Foraminifera,Globothalamea,Rotaliida,Globotruncanidae,Anania,hortulata
Musa acuminata,Plantae,Tracheophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,acuminata
Briza maxima,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Briza,maxima
Selasphorus calliope,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,calliope
Dryas octopetala,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Dryas,octopetala
Cyperus strigosus,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Cyperus,strigosus
Juncus balticus,Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,Juncus,balticus
Stipa pennata,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Stipa,pennata
Lepas anatifera,Animalia,Arthropoda,Thecostraca,Lepadiformes,Lepadidae,Lepas,anatifera
Phyllocladus trichomanoides,Plantae,Tracheophyta,Pinopsida,Pinales,Phyllocladaceae,Phyllocladus,trichomanoides
Agapanthus praecox,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Agapanthus,praecox
Thalia geniculata,Plantae,Tracheophyta,Magnoliopsida,Zingiberales,Marantaceae,Thalia,geniculata
Triticum aestivum,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Triticum,aestivum
Allium tricoccum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,tricoccum
Ophrys apifera,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Ophrys,apifera
Crassula arborescens,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,arborescens
Pictilabrus laticlavius,Animalia,Chordata,Actinopterygii,Labriformes,Labridae,Pictilabrus,laticlavius
Agave utahensis,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Agave,utahensis
Alpinia purpurata,Plantae,Tracheophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Alpinia,purpurata
Condylura cristata,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Condylura,cristata
Caiman crocodilus,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caiman,crocodilus
Gilia tenuiflora,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,tenuiflora
Wilsonia pusilla,Animalia,Chordata,Aves,Passeriformes,Parulidae,Wilsonia,pusilla
Scoliopus bigelovii,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Scoliopus,bigelovii
Lepomis microlophus,Animalia,Chordata,Actinopterygii,Centrarchiformes,Centrarchidae,Lepomis,microlophus
Oreochromis niloticus,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Oreochromis,niloticus
Toxicoscordion venenosum,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Toxicoscordion,venenosum
Lacrymaria lacrymabunda,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Lacrymaria,lacrymabunda
Lutjanus griseus,Animalia,Chordata,Actinopterygii,Lutjaniformes,Lutjanidae,Lutjanus,griseus
Erinaceus roumanicus,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Erinaceus,roumanicus
Pisolithus arhizus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Pisolithus,arhizus
Eleocharis palustris,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Eleocharis,palustris
Platanthera chlorantha,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Platanthera,chlorantha
Chelidonium majus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Chelidonium,majus
Semibalanus cariosus,Animalia,Arthropoda,Thecostraca,Sessilia,Archaeobalanidae,Semibalanus,cariosus
Pseudolabrus guentheri,Animalia,Chordata,Actinopterygii,Labriformes,Labridae,Pseudolabrus,guentheri
Veratrum viride,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Veratrum,viride
Phleum pratense,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Phleum,pratense
Tridens flavus,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Tridens,flavus
Juncus articulatus,Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,Juncus,articulatus
Cotinis nitida,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Cotinis,nitida
Hyacinthoides non-scripta,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Hyacinthoides,non-scripta
Cypripedium reginae,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cypripedium,reginae
Pellaea mucronata,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Pellaea,mucronata
Fritillaria atropurpurea,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Fritillaria,atropurpurea
Maianthemum bifolium,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Maianthemum,bifolium
Cephalanthera damasonium,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Cephalanthera,damasonium
Carex viridula,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,viridula
Crepis vesicaria,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,vesicaria
Neotinea ustulata,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Neotinea,ustulata
Lamarckia aurea,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Lamarckia,aurea
Crinum asiaticum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Crinum,asiaticum
Platanthera dilatata,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Platanthera,dilatata
Pritchardia remota,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Pritchardia,remota
Carex intumescens,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,intumescens
Carex vulpinoidea,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,vulpinoidea
Hordeum jubatum,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Hordeum,jubatum
Carex echinata,Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,Carex,echinata
Polistes exclamans,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes,exclamans
Clavulina rugosa,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina,rugosa
Cocos nucifera,Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,Cocos,nucifera
Pentagramma triangularis,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Pentagramma,triangularis
Crassula orbicularis,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Crassula,orbicularis
Microstegium vimineum,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Microstegium,vimineum
Pterois volitans,Animalia,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Pterois,volitans
Eschrichtius robustus,Animalia,Chordata,Mammalia,Cetacea,Eschrichtiidae,Eschrichtius,robustus
Juncus effusus,Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,Juncus,effusus
Potamogeton nodosus,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Potamogetonaceae,Potamogeton,nodosus
Heliodoxa jacula,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Heliodoxa,jacula
Gagea minima,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Gagea,minima
Thymus pulegioides,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,pulegioides
Neogobius melanostomus,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Neogobius,melanostomus
Salix caprea,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,caprea
Orchis purpurea,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Orchis,purpurea
Bloomeria crocea,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Bloomeria,crocea
Bothriochloa ischaemum,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Bothriochloa,ischaemum
Ficus virens,Animalia,Mollusca,Gastropoda,Littorinimorpha,Ficidae,Ficus,virens
Andropogon gerardi,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Andropogon,gerardi
Cucurbita pepo,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,pepo
Agropyron cristatum,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Agropyron,cristatum
Euodynerus hidalgo,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Euodynerus,hidalgo
Crocodylus niloticus,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,niloticus
Viburnum dentatum,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,dentatum
Blarina brevicauda,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,brevicauda
Sorghastrum nutans,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Sorghastrum,nutans
Phyllopertha horticola,Animalia,Arthropoda,Insecta,Coleoptera,Rutelidae,Phyllopertha,horticola
Setaria parviflora,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Setaria,parviflora
Luzula multiflora,Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,Luzula,multiflora
Glyceria striata,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Glyceria,striata
Clavulina cinerea,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina,cinerea
Ficus benjamina,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,benjamina
Hepatica nobilis,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Hepatica,nobilis
Epipactis palustris,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Epipactis,palustris
Fritillaria camschatcensis,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Fritillaria,camschatcensis
Alocasia odora,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Alocasia,odora
Narcissus poeticus,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Narcissus,poeticus
Fundulus diaphanus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,diaphanus
Balanus glandula,Animalia,Arthropoda,Thecostraca,Sessilia,Balanidae,Balanus,glandula
Hemerocallis fulva,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asphodelaceae,Hemerocallis,fulva
Salix fragilis,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,fragilis
Asparagus officinalis,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus,officinalis
Antennaria rosea,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria,rosea
Pectis papposa,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Pectis,papposa
Morus alba,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,alba
Iris germanica,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Iris,germanica
Viola lobata,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Viola,lobata
Orcinus orca,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcinus,orca
Danthonia spicata,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Danthonia,spicata
Scilla bifolia,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Scilla,bifolia
Salix lasiolepis,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,lasiolepis
Panicum capillare,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Panicum,capillare
Sparaxis tricolor,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Sparaxis,tricolor
Echinochloa crus-galli,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,Echinochloa,crus-galli
Galanthus nivalis,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Galanthus,nivalis
Trichonephila inaurata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,inaurata
Brodiaea elegans,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Brodiaea,elegans
Galbula ruficauda,Animalia,Chordata,Aves,Piciformes,Galbulidae,Galbula,ruficauda
Convallaria majalis,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Convallaria,majalis
Tillandsia usneoides,Plantae,Tracheophyta,Magnoliopsida,Poales,Bromeliaceae,Tillandsia,usneoides
Symplocarpus foetidus,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Symplocarpus,foetidus
Salix babylonica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,babylonica
Anticlea elegans,Plantae,Tracheophyta,Magnoliopsida,Liliales,Melanthiaceae,Anticlea,elegans
Crocus vernus,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Crocus,vernus
Acanthurus olivaceus,Animalia,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,olivaceus
Balaenoptera acutorostrata,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,acutorostrata
Gilia leptantha,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,Gilia,leptantha
Cheilodactylus vestitus,Animalia,Chordata,Actinopterygii,Centrarchiformes,Cheilodactylidae,Cheilodactylus,vestitus
Ophrys fuciflora,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Ophrys,fuciflora
Pilophorus clavatus,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Pilophorus,clavatus
Iris douglasiana,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Iridaceae,Iris,douglasiana
Medeola virginiana,Plantae,Tracheophyta,Magnoliopsida,Liliales,Liliaceae,Medeola,virginiana
